Symbol,Name,LastSale,MarketCap,Sector,industry
DLHC,DLH Holdings Corp.,5.92,$68.67M,Technology,Professional Services
BOOM,DMC Global Inc.,21.95,$324.19M,Capital Goods,Industrial Specialties
DNBF,DNB Financial Corp,33.15,$141.51M,Finance,Major Banks
DLTR,"Dollar Tree, Inc.",98.38,$23.33B,Consumer Services,Department/Specialty Retail Stores
DGICA,"Donegal Group, Inc.",17.62,$483.33M,Finance,Property-Casualty Insurers
DGICB,"Donegal Group, Inc.",15.45,$423.81M,Finance,Property-Casualty Insurers
DMLP,"Dorchester Minerals, L.P.",15,$484.2M,Energy,Oil & Gas Production
DORM,"Dorman Products, Inc.",68.38,$2.31B,Capital Goods,Auto Parts:O.E.M.
EAGL,Double Eagle Acquisition Corp.,9.85,$612.71M,Finance,Business Services
EAGLU,Double Eagle Acquisition Corp.,10.77,n/a,Finance,Business Services
EAGLW,Double Eagle Acquisition Corp.,0.8499,n/a,Finance,Business Services
DOVA,"Dova Pharmaceuticals, Inc.",28.76,$737.76M,Health Care,Major Pharmaceuticals
LYL,Dragon Victory International Limited,5.48,$63.93M,Finance,Finance/Investors Services
DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.78,$74.08M,Finance,Business Services
DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.55,n/a,Finance,Business Services
DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.4992,n/a,Finance,Business Services
DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.55,n/a,Finance,Business Services
DRYS,DryShips Inc.,3.99,$416.06M,Transportation,Marine Transportation
DSPG,"DSP Group, Inc.",13.2,$294.66M,Technology,Semiconductors
DLTH,Duluth Holdings Inc.,18.17,$589.78M,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,"Dunkin&#39; Brands Group, Inc.",56.23,$5.08B,Consumer Services,Restaurants
DRRX,DURECT Corporation,1.12,$166.37M,Health Care,Major Pharmaceuticals
DXPE,"DXP Enterprises, Inc.",26.36,$458.45M,Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,1.28,$21.84M,Capital Goods,Industrial Machinery/Components
DYNT,Dynatronics Corporation,2.55,$12.55M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Dynavax Technologies Corporation,18.55,$1.12B,Health Care,Major Pharmaceuticals
ETFC,E*TRADE Financial Corporation,44.87,$12.1B,Finance,Savings Institutions
EBMT,"Eagle Bancorp Montana, Inc.",20.9,$104.51M,Finance,Major Banks
EGBN,"Eagle Bancorp, Inc.",66.35,$2.27B,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc.,4.39,$325.4M,Transportation,Marine Transportation
EFBI,"Eagle Financial Bancorp, Inc.",17.5,$28.22M,Finance,Savings Institutions
EGRX,"Eagle Pharmaceuticals, Inc.",56.99,$850.38M,Health Care,Major Pharmaceuticals
EWBC,"East West Bancorp, Inc.",57.63,$8.33B,Finance,Major Banks
EACQ,Easterly Acquisition Corp.,10,$64.54M,Capital Goods,Building Products
EACQU,Easterly Acquisition Corp.,10.73,n/a,Capital Goods,Building Products
EACQW,Easterly Acquisition Corp.,0.82,n/a,Capital Goods,Building Products
EML,Eastern Company (The),27.7,$173.44M,Capital Goods,Industrial Machinery/Components
ESDI,"Eastside Distilling, Inc.",5.14,$24.8M,Consumer Non-Durables,Beverages (Production/Distribution)
ESDIW,"Eastside Distilling, Inc.",0.76,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
EVGBC,Eaton Vance NextShares Trust,99.98,n/a,n/a,n/a
EVSTC,Eaton Vance NextShares Trust,100.02,n/a,n/a,n/a
EVLMC,Eaton Vance NextShares Trust II,99.94,n/a,n/a,n/a
OKDCC,Eaton Vance NextShares Trust II,20,n/a,n/a,n/a
EBAY,eBay Inc.,35.84,$37.44B,Miscellaneous,Business Services
EBAYL,eBay Inc.,26.98,n/a,Miscellaneous,Business Services
EBIX,"Ebix, Inc.",76.55,$2.41B,Technology,EDP Services
ELON,Echelon Corporation,4.94,$22.33M,Technology,Computer Communications Equipment
ECHO,"Echo Global Logistics, Inc.",25.05,$699.09M,Transportation,Oil Refining/Marketing
SATS,EchoStar Corporation,59.61,$5.71B,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,"Ecology and Environment, Inc.",10.3,$44.31M,Consumer Services,Military/Government/Technical
ESES,"Eco-Stim Energy Solutions, Inc.",1.33,$99.14M,Energy,Oilfield Services/Equipment
EDAP,EDAP TMS S.A.,3.1,$89.06M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,"Edge Therapeutics, Inc.",9.97,$307.67M,Health Care,Major Pharmaceuticals
EDGW,"Edgewater Technology, Inc.",6.13,$85.91M,Technology,"Computer Software: Programming, Data Processing"
EDIT,"Editas Medicine, Inc.",25.77,$1.09B,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDUC,Educational Development Corporation,13.77,$56.32M,Consumer Durables,Consumer Specialties
EGAN,eGain Corporation,3.5,$95.32M,Technology,Computer Software: Prepackaged Software
EGLT,Egalet Corporation,1.13,$48.62M,Health Care,Major Pharmaceuticals
EHTH,"eHealth, Inc.",22.75,$423.66M,Finance,Specialty Insurers
EIGR,"Eiger BioPharmaceuticals, Inc.",10.9,$114.63M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EKSO,"Ekso Bionics Holdings, Inc.",2.88,$172.52M,Capital Goods,Industrial Machinery/Components
LOCO,"El Pollo Loco Holdings, Inc.",10.1,$390.39M,Consumer Services,Restaurants
EMITF,Elbit Imaging Ltd.,2.3,$21.14M,Consumer Services,Building operators
ESLT,Elbit Systems Ltd.,143.63,$6.14B,Capital Goods,Military/Government/Technical
ERI,"Eldorado Resorts, Inc.",29.7,$2.28B,Consumer Services,Hotels/Resorts
ESIO,"Electro Scientific Industries, Inc.",26.99,$903.94M,Miscellaneous,Industrial Machinery/Components
EA,Electronic Arts Inc.,107.93,$33.23B,Technology,Computer Software: Prepackaged Software
EFII,"Electronics for Imaging, Inc.",29,$1.34B,Technology,Computer Communications Equipment
ELSE,"Electro-Sensors, Inc.",4.03,$13.68M,Capital Goods,Industrial Machinery/Components
ELEC,Electrum Special Acquisition Corporation,10.27,$185.17M,Finance,Business Services
ELECU,Electrum Special Acquisition Corporation,10.6,$191.12M,Finance,Business Services
ELECW,Electrum Special Acquisition Corporation,0.37,n/a,Finance,Business Services
EBIO,"Eleven Biotherapeutics, Inc.",0.69,$21.96M,Health Care,Major Pharmaceuticals
DWAC,Elkhorn Commodity Rotation Strategy ETF,25,$2.5M,n/a,n/a
ESBK,Elmira Savings Bank NY (The),20.5999,$56.77M,Finance,Major Banks
ELTK,Eltek Ltd.,4.54,$9.21M,Technology,Electrical Products
EMCI,EMC Insurance Group Inc.,30.75,$658.04M,Finance,Property-Casualty Insurers
EMCF,Emclaire Financial Corp,30.7625,$69.66M,Finance,Major Banks
EMKR,EMCORE Corporation,7.65,$205.63M,Technology,Semiconductors
RNEM,Emerging Markets Equity Select ETF,54,$5.4M,n/a,n/a
EMMS,Emmis Communications Corporation,3.58,$45.5M,Consumer Services,Broadcasting
NYNY,"Empire Resorts, Inc.",22.15,$690.59M,Consumer Services,Restaurants
ENTA,"Enanta Pharmaceuticals, Inc.",47.86,$913.67M,Health Care,Major Pharmaceuticals
ECPG,Encore Capital Group Inc,45.4,$1.17B,Finance,Finance Companies
WIRE,Encore Wire Corporation,45.1,$938.77M,Capital Goods,Metal Fabrications
ENDP,Endo International plc,7.53,$1.68B,Health Care,Major Pharmaceuticals
ECYT,"Endocyte, Inc.",4.96,$237.49M,Health Care,Major Pharmaceuticals
ELGX,"Endologix, Inc.",5.29,$441.47M,Health Care,Medical/Dental Instruments
NDRA,ENDRA Life Sciences Inc.,3.75,$14.65M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NDRAW,ENDRA Life Sciences Inc.,0.9899,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EIGI,"Endurance International Group Holdings, Inc.",9.45,$1.36B,Technology,Computer Software: Prepackaged Software
WATT,Energous Corporation,8.57,$190.37M,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,"Energy Focus, Inc.",2.84,$33.67M,Consumer Durables,Building Products
ERII,"Energy Recovery, Inc.",9.61,$515.05M,Technology,Industrial Machinery/Components
EXXI,"Energy XXI Gulf Coast, Inc.",5.09,$169.1M,Energy,Oil & Gas Production
ENG,ENGlobal Corporation,0.81,$22.29M,Consumer Services,Military/Government/Technical
ENPH,"Enphase Energy, Inc.",2.66,$227.52M,Technology,Semiconductors
ESGR,Enstar Group Limited,224.05,$4.35B,Finance,Property-Casualty Insurers
ENFC,Entegra Financial Corp.,28.1,$192.61M,Finance,Banks
ENTG,"Entegris, Inc.",32.2,$4.55B,Consumer Non-Durables,Plastic Products
ENTL,"Entellus Medical, Inc.",15.98,$407.08M,Health Care,Medical/Dental Instruments
EBTC,Enterprise Bancorp Inc,35.37,$410.21M,Finance,Major Banks
EFSC,Enterprise Financial Services Corporation,43.2,$996.4M,Finance,Major Banks
ENZY          ,Enzymotec Ltd.,11.8,$276.45M,Consumer Durables,Specialty Chemicals
EPZM,"Epizyme, Inc.",11.9,$824.46M,Health Care,Major Pharmaceuticals
PLUS,ePlus inc.,80.55,$1.14B,Technology,Retail: Computer Software & Peripheral Equipment
EQIX,"Equinix, Inc.",474.07,$37.09B,Consumer Services,Real Estate Investment Trusts
EQFN,Equitable Financial Corp.,10.35,$34.87M,Finance,Savings Institutions
EQBK,"Equity Bancshares, Inc.",33.8,$413.51M,Finance,Major Banks
ERIC,Ericsson,6.445,$21.49B,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company,122.4,$6.4B,Finance,Specialty Insurers
ERYP,Erytech Pharma S.A.,26.61,$477.17M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESCA,"Escalade, Incorporated",13.65,$196.16M,Consumer Non-Durables,Recreational Products/Toys
ESPR,"Esperion Therapeutics, Inc.",56.51,$1.48B,Health Care,Major Pharmaceuticals
ESQ,"Esquire Financial Holdings, Inc.",17.5,$128.21M,Finance,Commercial Banks
ESSA,"ESSA Bancorp, Inc.",16.05,$186.11M,Finance,Banks
EPIX,ESSA Pharma Inc.,0.2641,$7.69M,Health Care,Major Pharmaceuticals
ESND,Essendant Inc.,9.11,$342.64M,Consumer Services,Paper
ITEQ,ETF Managers Trust BlueStar TA-BIGITech Israel Technology ETF,32.115,n/a,n/a,n/a
ETSY,"Etsy, Inc.",17.12,$2.08B,Miscellaneous,Business Services
CLWT,Euro Tech Holdings Company Limited,3.55,$7.32M,Consumer Durables,Diversified Electronic Products
EEFT,"Euronet Worldwide, Inc.",91.06,$4.8B,Finance,Investment Bankers/Brokers/Service
ESEA,Euroseas Ltd.,1.8537,$20.71M,Transportation,Marine Transportation
EVEP,"EV Energy Partners, L.P.",0.6751,$33.33M,Energy,Oil & Gas Production
EVBG,"Everbridge, Inc.",27.95,$789.72M,Technology,Computer Software: Prepackaged Software
EVK,"Ever-Glory International Group, Inc.",2.3,$34.03M,Consumer Non-Durables,Apparel
MRAM,"Everspin Technologies, Inc.",8.82,$112.6M,Technology,Semiconductors
EVLV,EVINE Live Inc.,1.44,$93.92M,Consumer Services,Catalog/Specialty Distribution
EVGN,Evogene Ltd.,3.9299,$101.19M,Basic Industries,Agricultural Chemicals
EVOK,"Evoke Pharma, Inc.",2.715,$41.85M,Health Care,Major Pharmaceuticals
EVOL,"Evolving Systems, Inc.",4.6,$57.63M,Technology,EDP Services
EXAS,Exact Sciences Corporation,59.29,$7.1B,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXAC,"Exactech, Inc.",41.8,$600.51M,Health Care,Industrial Specialties
XELA,"Exela Technologies, Inc.",5.17,$778.49M,Miscellaneous,Business Services
EXEL,"Exelixis, Inc.",25.85,$7.65B,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,EXFO Inc,4.45,$103.35M,Capital Goods,Electrical Products
EXLS,"ExlService Holdings, Inc.",61.01,$2.07B,Miscellaneous,Business Services
EXPE,"Expedia, Inc.",126.81,$19.34B,Consumer Services,Transportation Services
EXPD,"Expeditors International of Washington, Inc.",59.88,$10.64B,Transportation,Oil Refining/Marketing
EXPO,"Exponent, Inc.",74.775,$1.93B,Consumer Services,Professional Services
ESRX,Express Scripts Holding Company,61.18,$34.65B,Health Care,Medical/Nursing Services
XOG,"Extraction Oil & Gas, Inc.",15.7,$2.7B,Energy,Oil & Gas Production
EXTR,"Extreme Networks, Inc.",13.7,$1.55B,Technology,Computer Communications Equipment
EYEG,"Eyegate Pharmaceuticals, Inc.",1.07,$18.41M,Health Care,Major Pharmaceuticals
EYEGW,"Eyegate Pharmaceuticals, Inc.",0.0574,n/a,Health Care,Major Pharmaceuticals
EZPW,"EZCORP, Inc.",11.75,$639.18M,Consumer Services,Other Specialty Stores
FFIV,"F5 Networks, Inc.",123.27,$7.72B,Technology,Computer Communications Equipment
FB,"Facebook, Inc.",182.78,$531.12B,Technology,"Computer Software: Programming, Data Processing"
DAVE,"Famous Dave&#39;s of America, Inc.",5,$36.88M,Consumer Services,Restaurants
FANH,Fanhua Inc.,22.89,$1.41B,Finance,Specialty Insurers
FARM,Farmer Brothers Company,33.25,$560.04M,Consumer Non-Durables,Packaged Foods
FMAO,"Farmers & Merchants Bancorp, Inc.",38.49,$356.67M,Finance,Savings Institutions
FFKT,Farmers Capital Bank Corporation,40.65,$305.52M,Finance,Major Banks
FMNB,Farmers National Banc Corp.,14.1,$388.37M,Finance,Major Banks
FARO,"FARO Technologies, Inc.",53.4,$892.38M,Capital Goods,Industrial Machinery/Components
FAST,Fastenal Company,49.07,$14.1B,Consumer Services,RETAIL: Building Materials
FAT,FAT Brands Inc.,10.152,$101.52M,Consumer Services,Restaurants
FATE,"Fate Therapeutics, Inc.",4.21,$175.5M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,"Fauquier Bankshares, Inc.",21,$79.02M,Finance,Major Banks
FCRE,FC Global Realty Incorporated,1.0356,$5.43M,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FSAC,Federal Street Acquisition Corp.,9.71,$558.33M,Finance,Business Services
FSACU,Federal Street Acquisition Corp.,10.3,n/a,Finance,Business Services
FSACW,Federal Street Acquisition Corp.,1.03,n/a,Finance,Business Services
FNHC,Federated National Holding Company,13.93,$181.83M,Finance,Property-Casualty Insurers
FENC,Fennec Pharmaceuticals Inc.,9.95,$157.77M,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GSM,Ferroglobe PLC,16.27,$2.8B,Capital Goods,Metal Fabrications
FFBW,"FFBW, Inc.",11.15,$73.73M,Finance,Savings Institutions
FCSC,Fibrocell Science Inc,1.45,$21.34M,Health Care,Major Pharmaceuticals
FGEN,"FibroGen, Inc",47.5,$3.9B,Health Care,Major Pharmaceuticals
FDBC,"Fidelity D & D Bancorp, Inc.",39.5,$147.33M,Finance,Major Banks
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,271.14,$1.44B,n/a,n/a
LION,Fidelity Southern Corporation,21.75,$583.64M,Finance,Major Banks
FDUS,Fidus Investment Corporation,16.53,$404.87M,n/a,n/a
FRGI,"Fiesta Restaurant Group, Inc.",17.75,$480.8M,Consumer Services,Restaurants
FITB,Fifth Third Bancorp,28.2,$19.9B,Finance,Major Banks
FITBI,Fifth Third Bancorp,29.46,$530.28M,Finance,Major Banks
FNGN,"Financial Engines, Inc.",27,$1.71B,Finance,Investment Managers
FISI,"Financial Institutions, Inc.",31.9,$498.48M,Finance,Major Banks
FNSR,Finisar Corporation,20.65,$2.35B,Technology,Semiconductors
FNJN,"Finjan Holdings, Inc.",2.15,$59.57M,Miscellaneous,Multi-Sector Companies
FNTE,FinTech Acquisition Corp. II,9.76,$233.2M,Finance,Business Services
FNTEU,FinTech Acquisition Corp. II,10.4,n/a,Finance,Business Services
FNTEW,FinTech Acquisition Corp. II,1.25,n/a,Finance,Business Services
FEYE,"FireEye, Inc.",14.21,$2.62B,Technology,Computer peripheral equipment
FBNC,First Bancorp,36.64,$1.09B,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",29.33,$317.57M,Finance,Major Banks
FRBA,First Bank,13.25,$231.04M,n/a,n/a
BUSE,First Busey Corporation,30.59,$1.49B,Finance,Major Banks
FBIZ,"First Business Financial Services, Inc.",23.06,$202M,Finance,Major Banks
FCAP,"First Capital, Inc.",35.34,$117.93M,Finance,Savings Institutions
FCFS,"First Cash, Inc.",66.7,$3.15B,Consumer Services,Other Specialty Stores
FCNCA,"First Citizens BancShares, Inc.",408.38,$4.9B,Finance,Major Banks
FCBC,"First Community Bancshares, Inc.",28.78,$488.9M,Finance,Major Banks
FCCO,First Community Corporation,23.5,$157.6M,Finance,Major Banks
FBNK,"First Connecticut Bancorp, Inc.",25.2,$402.01M,Finance,Banks
FDEF,First Defiance Financial Corp.,53.2,$540.29M,Finance,Savings Institutions
FFBC,First Financial Bancorp.,27,$1.68B,Finance,Major Banks
FFBCW,First Financial Bancorp.,16.53,n/a,Finance,Major Banks
FFIN,"First Financial Bankshares, Inc.",44.9,$2.97B,Finance,Major Banks
THFF,First Financial Corporation Indiana,46.6,$569.63M,Finance,Major Banks
FFNW,"First Financial Northwest, Inc.",16.41,$176.61M,Finance,Major Banks
FFWM,First Foundation Inc.,18.43,$703.86M,Finance,Major Banks
FGBI,"First Guaranty Bancshares, Inc.",26.05,$208.59M,Finance,Savings Institutions
FHB,"First Hawaiian, Inc.",27.92,$3.9B,Finance,Major Banks
INBK,First Internet Bancorp,37.9,$318.78M,Finance,Major Banks
INBKL,First Internet Bancorp,25.5,n/a,Finance,Major Banks
FIBK,"First Interstate BancSystem, Inc.",37.75,$2.13B,Finance,Major Banks
FRME,First Merchants Corporation,40.85,$2.01B,Finance,Major Banks
FMBH,"First Mid-Illinois Bancshares, Inc.",39.07,$492.99M,Finance,Major Banks
FMBI,"First Midwest Bancorp, Inc.",23.59,$2.42B,Finance,Major Banks
FNWB,First Northwest Bancorp,17.75,$210.15M,Finance,Banks
FSFG,"First Savings Financial Group, Inc.",56.7,$127.15M,Finance,Savings Institutions
FSLR,"First Solar, Inc.",60.61,$6.33B,Technology,Semiconductors
FAAR,First Trust Alternative Absolute Return Strategy ETF,30.17,$7.54M,n/a,n/a
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,35.47,$53.21M,n/a,n/a
BICK,First Trust BICK Index Fund,30.59,$224.84M,n/a,n/a
FBZ,First Trust Brazil AlphaDEX Fund,16.01,$12.81M,n/a,n/a
FCAL,First Trust California Municipal High income ETF,50.7837,$10.16M,n/a,n/a
FCAN,First Trust Canada AlphaDEX Fund,25.8197,$6.45M,n/a,n/a
FTCS,First Trust Capital Strength ETF,49.76,$574.73M,n/a,n/a
FCEF,First Trust CEF Income Opportunity ETF,21.86,$35.09M,n/a,n/a
FCA,First Trust China AlphaDEX Fund,29.59,$13.32M,n/a,n/a
SKYY,First Trust Cloud Computing ETF,45.6,$1.26B,n/a,n/a
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,61.572,$760.54M,n/a,n/a
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,44.15,$8.83M,n/a,n/a
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,25.5403,$358.84M,n/a,n/a
FV,First Trust Dorsey Wright Focus 5 ETF,27.42,$2.46B,n/a,n/a
IFV,First Trust Dorsey Wright International Focus 5 ETF,22.24,$872.92M,n/a,n/a
DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,27.9399,$29.34M,n/a,n/a
FEM,First Trust Emerging Markets AlphaDEX Fund,27.3,$427.25M,n/a,n/a
FEMB,First Trust Emerging Markets Local Currency Bond ETF,41.66,$39.58M,n/a,n/a
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,41.5,$261.45M,n/a,n/a
FTSM,First Trust Enhanced Short Maturity ETF,59.99,$1.36B,n/a,n/a
FEP,First Trust Europe AlphaDEX Fund,38.31,$693.41M,n/a,n/a
FEUZ,First Trust Eurozone AlphaDEX ETF,43.4357,$36.92M,n/a,n/a
FGM,First Trust Germany AlphaDEX Fund,50.3263,$241.57M,n/a,n/a
FTGC,First Trust Global Tactical Commodity Strategy Fund,20.84,$195.97M,n/a,n/a
FTHI,First Trust High Income ETF,22.9401,$55.61M,n/a,n/a
HYLS,First Trust High Yield Long/Short ETF,48.42,$1.23B,n/a,n/a
FHK,First Trust Hong Kong AlphaDEX Fund,43.43,$8.69M,n/a,n/a
FTAG,First Trust Indxx Global Agriculture ETF,27.618,$6.63M,n/a,n/a
FTRI,First Trust Indxx Global Natural Resources Income ETF,12.099,$9.07M,n/a,n/a
FPXI,First Trust International IPO ETF,35.255,$21.15M,n/a,n/a
YDIV,First Trust International Multi-Asset Diversified Income Index,18.6067,$14.89M,n/a,n/a
FJP,First Trust Japan AlphaDEX Fund,59.3417,$83.08M,n/a,n/a
FEX,First Trust Large Cap Core AlphaDEX Fund,57.07,$1.46B,n/a,n/a
FTC,First Trust Large Cap Growth AlphaDEX Fund,60.9344,$703.79M,n/a,n/a
FTA,First Trust Large Cap Value AlphaDEX Fund,52.19,$1.06B,n/a,n/a
FLN,First Trust Latin America AlphaDEX Fund,21.59,$22.67M,n/a,n/a
FTLB,First Trust Low Beta Income ETF,22.7,$7.95M,n/a,n/a
LMBS,First Trust Low Duration Opportunities ETF,51.76,$890.27M,n/a,n/a
FMB,First Trust Managed Municipal ETF,53.21,$244.77M,n/a,n/a
FMK,First Trust Mega Cap AlphaDEX Fund,32.85,$16.43M,n/a,n/a
FNX,First Trust Mid Cap Core AlphaDEX Fund,64.53,$725.96M,n/a,n/a
FNY,First Trust Mid Cap Growth AlphaDEX Fund,39.05,$113.25M,n/a,n/a
FNK,First Trust Mid Cap Value AlphaDEX Fund,34.975,$50.71M,n/a,n/a
FAD,First Trust Multi Cap Growth AlphaDEX Fund,65.0154,$120.28M,n/a,n/a
FAB,First Trust Multi Cap Value AlphaDEX Fund,54.58,$106.43M,n/a,n/a
MDIV,First Trust Multi-Asset Diversified Income Index Fund,18.73,$809.14M,n/a,n/a
MCEF,First Trust Municipal CEF Income Opportunity ETF,18.7516,$13.13M,n/a,n/a
FMHI,First Trust Municipal High Income ETF,50.25,$20.1M,n/a,n/a
QABA,First Trust NASDAQ ABA Community Bank Index Fund,51.61,$312.24M,n/a,n/a
FTXO,First Trust Nasdaq Bank ETF,27.37,$1.12B,n/a,n/a
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,20.78,$94.55M,n/a,n/a
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,50.32,$27.68M,n/a,n/a
CIBR,First Trust NASDAQ Cybersecurity ETF,22.57,$356.61M,n/a,n/a
FTXG,First Trust Nasdaq Food & Beverage ETF,20.0701,$2.01M,n/a,n/a
CARZ,First Trust NASDAQ Global Auto Index Fund,42.699,$21.35M,n/a,n/a
FTXN,First Trust Nasdaq Oil & Gas ETF,19.52,$3.9M,n/a,n/a
FTXH,First Trust Nasdaq Pharmaceuticals ETF,20.12,$2.01M,n/a,n/a
FTXD,First Trust Nasdaq Retail ETF,20.29,$1.01M,n/a,n/a
FTXL,First Trust Nasdaq Semiconductor ETF,32.3953,$27.54M,n/a,n/a
FONE,First Trust NASDAQ Smartphone Index Fund,53.896,$18.86M,n/a,n/a
TDIV,First Trust NASDAQ Technology Dividend Index Fund,35.27,$804.33M,n/a,n/a
FTXR,First Trust Nasdaq Transportation ETF,24.19,$3.63M,n/a,n/a
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,57.61,$530.01M,n/a,n/a
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,47.05,$98.81M,n/a,n/a
QTEC,First Trust NASDAQ-100- Technology Index Fund,75.21,$2.29B,n/a,n/a
AIRR,First Trust RBA American Industrial Renaissance ETF,26.19,$193.81M,n/a,n/a
QINC,First Trust RBA Quality Income ETF,24.9166,$29.9M,n/a,n/a
RDVY,First Trust Rising Dividend Achievers ETF,28.5785,$308.65M,n/a,n/a
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,60.88,$39.57M,n/a,n/a
RFDI,First Trust RiverFront Dynamic Developed International ETF,64.0894,$455.03M,n/a,n/a
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,70.68,$77.75M,n/a,n/a
RFEU,First Trust RiverFront Dynamic Europe ETF,64.98,$123.46M,n/a,n/a
FTSL,First Trust Senior Loan Fund ETF,47.97,$1.33B,n/a,n/a
FYX,First Trust Small Cap Core AlphaDEX Fund,59.84,$538.56M,n/a,n/a
FYC,First Trust Small Cap Growth AlphaDEX Fund,42.1154,$145.3M,n/a,n/a
FYT,First Trust Small Cap Value AlphaDEX Fund,35.86,$68.13M,n/a,n/a
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,20.17,$2.02M,n/a,n/a
FKO,First Trust South Korea AlphaDEX Fund,29.37,$2.94M,n/a,n/a
FCVT,First Trust SSI Strategic Convertible Securities ETF,29.489,$60.45M,n/a,n/a
FDIV,First Trust Strategic Income ETF,50.59,$96.12M,n/a,n/a
FSZ,First Trust Switzerland AlphaDEX Fund,52.07,$223.9M,n/a,n/a
FTW,First Trust Taiwan AlphaDEX Fund,36.5,$3.65M,n/a,n/a
FIXD,First Trust TCW Opportunistic Fixed Income ETF,50.87,$119.54M,n/a,n/a
TUSA,First Trust Total US Market AlphaDEX ETF,32.1686,$12.87M,n/a,n/a
FKU,First Trust United Kingdom AlphaDEX Fund,38.32,$22.99M,n/a,n/a
FUNC,First United Corporation,17.25,$121.91M,Finance,Major Banks
FUSB,"First US Bancshares, Inc.",11.99,$72.87M,Finance,Major Banks
SVVC,"Firsthand Technology Value Fund, Inc.",8.46,$62.86M,n/a,n/a
FSV,FirstService Corporation,68.37,$2.36B,Finance,Real Estate
FISV,"Fiserv, Inc.",128.13,$26.7B,Technology,EDP Services
FIVE,"Five Below, Inc.",59.46,$3.28B,Consumer Services,Department/Specialty Retail Stores
FPRX,"Five Prime Therapeutics, Inc.",27,$781.12M,Health Care,Major Pharmaceuticals
FVE,Five Star Senior Living Inc.,1.7,$85.08M,Health Care,Hospital/Nursing Management
FIVN,"Five9, Inc.",24.81,$1.38B,Technology,EDP Services
FLEX,Flex Ltd.,19.09,$10.09B,Technology,Electrical Products
FLKS,"Flex Pharma, Inc.",4.25,$76.08M,Health Care,Major Pharmaceuticals
FLXN,"Flexion Therapeutics, Inc.",26.32,$988.07M,Health Care,Major Pharmaceuticals
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,50.97,$53.52M,n/a,n/a
LKOR,FlexShares Credit-Scored US Long Corporate Bond Index Fund,54.29,$19M,n/a,n/a
MBSD,FlexShares Disciplined Duration MBS Index Fund,23.76,$39.2M,n/a,n/a
ASET,FlexShares Real Assets Allocation Index Fund,28.4999,$7.13M,n/a,n/a
ESGG,FlexShares STOXX Global ESG Impact Index Fund,93.12,$41.9M,n/a,n/a
ESG,FlexShares STOXX US ESG Impact Index Fund,61.22,$13.77M,n/a,n/a
QLC,FlexShares US Quality Large Cap Index Fund,32.26,$28.23M,n/a,n/a
FPAY,"FlexShopper, Inc.",3.7,$19.58M,Technology,Diversified Commercial Services
FLXS,"Flexsteel Industries, Inc.",50.07,$392.81M,Consumer Durables,Home Furnishings
FLIR,"FLIR Systems, Inc.",47.07,$6.52B,Capital Goods,Industrial Machinery/Components
FLDM,Fluidigm Corporation,5.74,$221.84M,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FFIC,Flushing Financial Corporation,27.64,$796.58M,Finance,Major Banks
